Population, Predicted Incidents
18540.0,3196.44765465
43341.0,19864.1974715
66636.0,42320.9414846
39553.0,16592.3241855
23570.0,5490.587683
56024.0,31842.3344794
28606.0,8425.37713535
1806.0,1247.22626487
10700.0,1094.03072591
3540.0,984.632832219
9027.0,903.865556571
41104.0,17909.1673767
78895.0,53820.083589
19104.0,3419.28919375
17590.0,2841.70296951
24861.0,6185.53632618
7987.0,834.830772961
26999.0,7424.78854809
8690.0,877.312611762
75371.0,50648.1330076
12635.0,1432.00697578
59129.0,34906.7443421
7926.0,831.97322812
16575.0,2491.83293891
34555.0,12596.648726
47211.0,23381.4959231
41356.0,18126.2136437
56438.0,32249.5675555
38917.0,16062.1871974
22922.0,5157.48885319
8370.0,855.802161966
1685.0,1269.98567015
67053.0,42728.9007696
50502.0,26482.324437
81677.0,56218.2725832
14096.0,1768.23896837
87757.0,61059.0400827
57311.0,33109.8947907
1618.0,1282.8396208
29189.0,8802.41977351
39127.0,16236.5792929
58519.0,34303.2245354
19168.0,3445.1449288
8176.0,844.527346629
11916.0,1291.92652467
19533.0,3594.80170982
8344.0,854.213579953
9105.0,910.578804719
1858.0,1237.6248368
25590.0,6595.94140199
21902.0,4655.02173303
31834.0,10602.261677
27357.0,7642.6852625
12337.0,1371.89156832
5487.0,828.336259544
38982.0,16116.0962859
38780.0,15948.7683335
68853.0,44480.8103945
9041.0,905.054826648
13779.0,1689.48713151
13393.0,1597.90901478
7823.0,827.450193312
20844.0,4162.75215139
4079.0,926.887132807
17962.0,2977.50494847
80018.0,54800.3726548
44837.0,21205.0477408
12604.0,1425.61829035
42870.0,19447.4043491
85510.0,59340.453182
100820.0,68983.2855618
1123.0,1383.3843002
37144.0,14616.4429684
40782.0,17633.0623082
17329.0,2748.8336452
10170.0,1023.37724189
17045.0,2650.05526746
93386.0,64943.2816919
16415.0,2439.47340905
17208.0,2706.45776929
28647.0,8451.65273854
24438.0,5953.30302256
94600.0,65693.5898917
34882.0,12845.4374816
14992.0,2007.91873323
26883.0,7354.81185875
59283.0,35059.1806462
12680.0,1441.33655148
67970.0,43623.3625934
34981.0,12921.1293908
63393.0,39128.5897109
4135.0,921.528275219
5672.0,820.938504318
60035.0,35803.847135
42230.0,18885.3835523
40931.0,17760.6521813
22658.0,5024.8542369
27655.0,7826.27416694
1224.0,1362.06901233
40730.0,17588.6048997
84500.0,58540.0231052
20857.0,4168.61898934
42252.0,18904.6187008
40827.0,17671.5646014
7135.0,807.019832388
520.0,1519.23080125
36934.0,14448.4604956
78134.0,53146.9594913
7895.0,830.571998917
37337.0,14771.4489006
61347.0,37103.5767684
40113.0,17063.9268852
37280.0,14725.6082519
45768.0,22051.8276148
