Zipcode, Predicted Incidents
11692.0,9764.65375528
11520.0,12820.9172176
11372.0,14951.1685813
11801.0,7559.56588975
10566.0,19283.8708195
10003.0,27836.4991293
11361.0,15089.4989586
11005.0,18084.7776819
11716.0,9294.91058275
14710.0,1615.99277091
11023.0,17996.8515098
14450.0,5063.22048452
11221.0,16603.1883498
13790.0,-6062.81816286
11426.0,14231.4027697
11416.0,14369.7629005
10504.0,19514.0135183
10030.0,26891.9605601
11565.0,12077.8264962
10452.0,19774.7446163
11766.0,8286.89618635
11434.0,14119.0692684
14209.0,2667.2115621
10017.0,27336.5859672
11364.0,15052.0522628
11419.0,14328.4953665
11003.0,18094.1946399
10031.0,26858.5239385
10952.0,18311.8196641
10471.0,19671.0419556
11558.0,12196.1932875
10162.0,23327.9529355
11233.0,16491.2856714
10461.0,19724.3252155
11206.0,16738.4394278
10307.0,20996.8310004
11234.0,16481.811247
10460.0,19729.8100798
14203.0,2566.32364976
11720.0,9215.70139185
11421.0,14300.8690658
10473.0,19660.7198271
11428.0,14203.4562534
11559.0,12179.3454899
11693.0,9745.27318448
14051.0,-372.109871715
11096.0,17577.9821057
14467.0,5070.93323711
11964.0,3988.5412477
10512.0,19479.9288943
11768.0,8245.79552007
10010.0,27583.769924
10308.0,20985.1989304
11577.0,11872.5813826
10502.0,19522.7642521
10583.0,19232.5092431
11103.0,17532.2680528
11209.0,16711.7988236
11797.0,7643.53312987
10941.0,18353.4018243
11239.0,16434.0939076
11557.0,12213.0204439
11581.0,11803.5178595
11697.0,9667.58182874
11030.0,17961.085014
11229.0,16528.9535514
11772.0,8163.42221862
10530.0,19408.3364555
10019.0,27266.9689168
10314.0,20916.496436
11373.0,14938.4532959
11948.0,4349.48969987
10550.0,19336.3507403
11040.0,17908.4251518
14052.0,-350.989937335
10553.0,19326.1824933
10603.0,19177.1475044
11207.0,16729.5819239
11703.0,9550.54113871
10580.0,19241.2677107
10598.0,19190.5189644
12553.0,-8769.70771629
10025.0,27060.7741591
11412.0,14424.4649543
13057.0,-14127.1803306
11001.0,18103.5422331
10024.0,27094.8646377
10570.0,19271.3979045
10463.0,19713.4419547
11378.0,14874.5278244
10701.0,18957.5114387
10921.0,18424.5381953
14009.0,-1272.03996721
11691.0,9784.01735485
10465.0,19702.6730796
10475.0,19650.5067024
11714.0,9334.41821322
11741.0,8795.69127208
14614.0,3878.23079276
14701.0,1886.38383341
11212.0,16684.9537499
14228.0,2976.79604232
11365.0,15039.5233802
10801.0,18753.657338
10005.0,27763.7201009
11042.0,17897.6695344
11222.0,16593.9891405
11204.0,16756.0864091
11789.0,7810.82826167
10454.0,19763.3331289
10009.0,27619.5326563
11580.0,11820.8139599
11561.0,12145.5880602
11590.0,11646.9510972
