zip,population,predicted value
11692,18540,3196.4476546472692
11520,43341,19864.197471509171
11372,66636,42320.941484589603
11801,39553,16592.324185458219
10566,23570,5490.5876830009529
10003,56024,31842.334479353565
11361,28606,8425.3771353470584
11005,1806,1247.2262648653764
11716,10700,1094.0307259129522
14710,3540,984.63283221919892
11023,9027,903.86555657134795
14450,41104,17909.167376656027
11221,78895,53820.083588973466
13790,19104,3419.2891937544191
11426,17590,2841.7029695134274
11416,24861,6185.5363261831108
10504,7987,834.83077296066131
10030,26999,7424.7885480877194
11565,8690,877.31261176166447
10452,75371,50648.133007639532
11766,12635,1432.006975783094
11434,59129,34906.744342077996
14209,7926,831.97322811960612
10017,16575,2491.8329389125784
11364,34555,12596.648725970934
11419,47211,23381.495923149399
11003,41356,18126.213643741714
10031,56438,32249.567555478745
10952,38917,16062.187197357211
10471,22922,5157.4888531947163
11558,8370,855.80216196573667
10162,1685,1269.9856701533024
11233,67053,42728.900769561638
10461,50502,26482.324436973526
11206,81677,56218.272583248268
10307,14096,1768.2389683718384
11234,87757,61059.04008268351
10460,57311,33109.894790671446
14203,1618,1282.8396207984338
11720,29189,8802.419773505886
11421,39127,16236.579292906566
10473,58519,34303.224535350077
11428,19168,3445.1449288041376
11559,8176,844.52734662862156
11693,11916,1291.9265246736218
14051,19533,3594.8017098212972
11096,8344,854.21357995282415
14467,9105,910.57880471932481
11964,1858,1237.6248367955677
10512,25590,6595.9414019879368
11768,21902,4655.0217330256874
10010,31834,10602.261677025754
10308,27357,7642.6852624975863
11577,12337,1371.8915683249274
10502,5487,828.33625954381114
10583,38982,16116.096285892849
11103,38780,15948.768333495369
11209,68853,44480.810394450535
11797,9041,905.0548266483263
10941,13779,1689.4871315080427
11239,13393,1597.909014775488
11557,7823,827.45019331242634
11581,20844,4162.7521513886641
11697,4079,926.88713280711556
11030,17962,2977.5049484699566
11229,80018,54800.372654829764
11772,44837,21205.047740825365
10530,12604,1425.6182903475333
10019,42870,19447.404349102995
10314,85510,59340.453182002675
11373,100820,68983.285561774697
11948,1123,1383.3843001979767
10550,37144,14616.442968371563
11040,40782,17633.062308249602
14052,17329,2748.8336452049834
10553,10170,1023.3772418870103
10603,17045,2650.0552674604942
11207,93386,64943.281691857323
11703,16415,2439.4734090507764
10580,17208,2706.4577692896032
10598,28647,8451.6527385360023
12553,24438,5953.3030225561452
10025,94600,65693.589891683398
11412,34882,12845.437481647579
13057,14992,2007.9187332284014
11001,26883,7354.8118587489407
10024,59283,35059.180646173212
10570,12680,1441.3365514840295
10463,67970,43623.362593357335
11378,34981,12921.129390786824
10701,63393,39128.589710892455
10921,4135,921.52827521940503
14009,5672,820.93850431771477
11691,60035,35803.847135008204
10465,42230,18885.383552328167
10475,40931,17760.652181301019
11714,22658,5024.8542368992912
11741,27655,7826.2741669437937
14614,1224,1362.0690123263562
14701,40730,17588.604899713482
11212,84500,58540.023105173386
14228,20857,4168.6189893426072
11365,42252,18904.618700761668
10801,40827,17671.564601363312
10005,7135,807.01983238832349
11042,520,1519.2308012491735
11222,36934,14448.460495622781
11204,78134,53146.959491271897
11789,7895,830.57199891742255
10454,37337,14771.448900609001
10009,61347,37103.576768444625
11580,40113,17063.926885245899
11561,37280,14725.608251865378
11590,45768,22051.827614811227
