,population,predicted incidents
10003,56024,42396.509522163
10005,7135,5795.83356607922
10009,61347,46584.18218909409
10010,31834,22566.67380383258
10017,16575,11371.88674904504
10019,42870,31578.16244792437
10024,59283,44981.55526471769
10025,94600,65370.360641901854
10030,26999,18801.572483535914
10031,56438,42728.17187367654
10162,1685,3226.7884434219186
10307,14096,9785.11979599016
10308,27357,19074.698758982035
10314,85510,61975.332275999004
10452,75371,56442.06052767393
10454,37337,27010.798502913945
10460,57311,43424.584578297814
10461,50502,37902.782750323386
10463,67970,51495.140585674315
10465,42230,31047.180573302536
10471,22922,15766.815914584176
10473,58519,44381.14431029629
10475,40931,29970.938521906806
10502,5487,2.0515022582875577
10504,7987,2.4788492680736285
10512,25590,9.388111546656221
10530,12604,4.067401102352763
10550,37144,26852.840585894555
10553,10170,3.1313334482892836
10566,23570,8.747712096159175
10570,12680,4.099153460673242
10580,17208,6.11842802897959
10583,38982,9.89717623901539
10598,28647,10.100441456177476
10603,17045,6.04428962542095
10701,63393,5.72213583620258
10801,40827,9.464628249844768
10921,4135,2.004966065718863
10941,13779,4.570470142426206
10952,38917,9.910557229780578
11001,26883,18713.28753504568
11003,41356,30322.79723740284
11005,1806,3277.9573491324286
11023,9027,2.7626027690644728
11030,17962,6.459688925691518
11040,40782,29847.650111466402
11042,520,2748.4955909171786
11096,8344,6435.127452342106
11103,38780,28195.41543369834
11204,78134,58107.75411711701
11206,81677,60076.987361423475
11207,93386,65015.297788363554
11209,68853,52118.53002128
11212,84500,61499.85926726122
11221,78895,58547.070563197056
11222,36934,26681.11041139343
11229,80018,59179.289476809194
11233,67053,50839.24397802367
11234,87757,62966.350120807474
11239,13393,9349.983486713378
11361,28606,20035.148337382245
11364,34555,24747.18815795803
11365,42252,31065.426382829446
11372,66636,50538.20425466072
11373,100820,66661.68789621613
11378,34981,25091.79860099591
11412,34882,25011.642381859216
11416,24861,17192.016179597045
11419,47211,35182.447865738766
11421,39127,28481.142159870946
11426,17590,12044.004513545075
11428,19168,13113.284406029696
11434,59129,44860.82728803774
11520,43341,8.733410239080426
11557,7823,2.439182729029701
11558,8370,2.5770493079096877
11559,8176,6344.868917522244
11561,37280,10.202145596041337
11565,8690,2.664822049555339
11577,12337,3.95684827672633
11580,40113,29294.585832413417
11581,20844,14279.711228864286
11590,45768,7.916975142921753
11691,60035,45568.85193200521
11692,18540,12684.276636880879
11693,11916,8458.234494683446
11697,4079,4289.923452259873
11703,16415,5.757140010206458
11714,22658,8.420252064394482
11716,10700,3.3196125070222906
11720,29189,10.191366169780963
11741,27655,9.905719455646501
11766,12635,4.080337950626681
11768,21902,8.132869494168375
11772,44837,8.239491786527173
11789,7895,2.456417328778935
11797,9041,2.766779395313897
11801,39553,9.774007020064154
11948,1123,2.499455504181669
11964,1858,2.2932211707580565
12553,24438,9.037985284089684
13057,14992,5.110440724950376
13790,19104,6.967887053007966
14009,5672,2.0688726312914567
14051,19533,7.154956081956824
14052,17329,6.173396553531166
14203,1618,2.35401037925849
14209,7926,2.4639247892481317
14228,20857,7.714518061578222
14450,41104,9.391440472385346
14467,9105,2.785986318972057
14614,1224,2.4675425464030516
14701,40730,9.489776814126522
14710,3540,2.0329311023166596
