# zipcode,population,num_incidents
1.15E+04,2.76E+04,1.90E+01
1.15E+04,2.78E+03,1.00E+00
1.14E+04,9.86E+04,6.72E+04
1.10E+04,1.47E+03,2.00E+00
1.10E+04,1.51E+04,1.00E+00
1.18E+04,2.24E+04,4.00E+00
1.18E+04,2.85E+04,7.00E+00
1.18E+04,1.45E+04,4.00E+00
1.18E+04,1.32E+04,1.00E+00
1.07E+04,2.12E+04,1.00E+01
1.07E+04,2.03E+04,3.00E+00
1.07E+04,1.01E+04,2.00E+00
1.07E+04,8.68E+03,2.00E+00
1.07E+04,3.88E+04,1.10E+01
1.07E+04,3.02E+04,2.30E+01
1.41E+04,6.22E+03,2.00E+00
1.06E+04,3.18E+04,1.00E+00
1.16E+04,5.06E+03,3.00E+00
1.16E+04,1.24E+04,9.00E+00
1.16E+04,1.63E+04,6.00E+00
1.16E+04,3.06E+04,8.00E+00
1.16E+04,2.66E+04,2.20E+01
1.14E+04,3.48E+04,2.26E+04
1.14E+04,6.87E+04,3.84E+04
1.14E+04,4.36E+04,2.31E+04
1.14E+04,8.98E+04,4.71E+04
1.14E+04,3.97E+04,1.31E+04
1.10E+04,5.90E+04,2.00E+00
1.36E+04,3.57E+02,1.00E+00
1.18E+04,4.57E+04,9.00E+00
1.18E+04,4.28E+04,1.00E+01
1.18E+04,1.24E+04,3.00E+00
1.18E+04,1.90E+04,1.00E+00
1.18E+04,1.20E+04,1.10E+01
1.18E+04,5.38E+04,5.00E+00
1.16E+04,1.05E+04,2.00E+00
1.16E+04,1.33E+04,2.10E+01
1.34E+04,4.30E+04,1.00E+00
1.49E+04,8.19E+03,1.00E+00
1.07E+04,2.51E+04,1.50E+01
1.06E+04,5.12E+03,2.00E+00
1.06E+04,6.55E+03,4.00E+00
1.06E+04,3.84E+04,1.00E+01
1.12E+04,4.93E+04,5.39E+04
1.10E+04,2.30E+04,5.00E+00
1.10E+04,8.00E+03,6.00E+00
1.10E+04,1.77E+04,2.60E+01
1.10E+04,5.91E+03,7.00E+00
1.16E+04,4.56E+03,2.00E+00
1.16E+04,2.27E+04,2.40E+01
1.16E+04,3.53E+04,1.30E+01
1.14E+04,1.10E+05,4.64E+04
1.14E+04,3.86E+04,2.29E+04
1.14E+04,1.35E+04,1.06E+04
1.14E+04,4.10E+04,2.60E+04
1.14E+04,1.78E+04,1.04E+04
1.14E+04,6.99E+03,6.54E+03
1.14E+04,1.89E+04,7.21E+03
1.10E+04,9.29E+03,1.00E+00
1.10E+04,3.40E+03,1.00E+00
1.10E+04,1.34E+04,2.00E+00
1.17E+04,1.33E+04,2.00E+00
1.17E+04,4.22E+04,9.00E+00
1.17E+04,6.71E+04,1.00E+01
1.17E+04,1.98E+04,3.10E+01
1.22E+04,1.13E+04,1.00E+00
1.05E+04,5.79E+03,3.00E+00
1.20E+04,2.66E+04,1.00E+00
1.11E+04,3.41E+04,1.90E+04
1.11E+04,2.55E+04,3.38E+04
1.11E+04,3.89E+04,2.29E+04
1.11E+04,3.67E+04,2.21E+04
1.26E+04,1.72E+04,1.00E+00
1.11E+04,2.72E+04,1.68E+04
1.14E+04,3.75E+04,2.44E+04
1.14E+04,3.92E+04,2.39E+04
1.14E+04,2.34E+04,1.65E+04
1.14E+04,8.59E+04,3.61E+04
1.14E+04,5.49E+04,3.02E+04
1.10E+04,2.06E+04,1.00E+00
1.22E+04,9.63E+03,1.00E+00
1.22E+04,3.00E+04,4.00E+00
1.49E+04,6.39E+04,1.00E+00
1.05E+04,9.99E+03,1.00E+00
1.05E+04,1.19E+04,1.00E+00
1.31E+04,2.22E+04,1.00E+00
1.42E+04,2.26E+04,1.00E+00
1.42E+04,1.47E+04,2.10E+01
1.42E+04,2.35E+04,2.00E+00
1.26E+04,3.51E+04,2.00E+00
1.10E+04,1.40E+04,7.72E+03
1.12E+04,6.35E+04,4.75E+04
1.05E+04,7.44E+03,1.60E+01
1.05E+04,1.09E+04,3.00E+00
1.05E+04,1.28E+04,1.00E+00
1.48E+04,2.05E+04,1.00E+00
1.05E+04,1.23E+04,1.00E+00
1.41E+04,7.15E+03,3.00E+00
1.23E+04,2.99E+04,1.00E+00
1.42E+04,1.11E+04,1.00E+00
1.42E+04,3.91E+03,3.00E+00
1.42E+04,2.08E+04,4.00E+00
1.15E+04,2.65E+03,1.00E+00
1.10E+04,2.38E+04,1.70E+01
1.18E+04,2.81E+04,1.90E+01
1.20E+04,8.17E+02,1.00E+00
1.18E+04,1.53E+04,1.00E+00
1.18E+04,3.23E+04,8.00E+00
1.18E+04,2.51E+04,1.60E+01
1.18E+04,2.60E+04,1.00E+00
1.09E+04,4.54E+03,1.00E+00
1.05E+04,4.93E+03,9.00E+00
1.05E+04,7.32E+03,3.00E+00
1.05E+04,1.07E+04,5.00E+00
1.05E+04,1.66E+04,2.00E+00
1.18E+04,5.01E+03,2.00E+00
1.43E+04,1.28E+04,1.00E+00
1.43E+04,1.69E+04,1.00E+00
1.43E+04,3.04E+04,3.00E+00
1.18E+04,2.47E+04,4.00E+00
1.18E+04,3.58E+04,3.00E+00
1.18E+04,1.55E+04,1.00E+00
1.18E+04,1.58E+04,2.00E+00
1.18E+04,1.68E+04,1.90E+01
1.28E+04,4.52E+02,1.00E+00
1.00E+04,2.45E+04,1.63E+04
1.00E+04,2.03E+04,1.26E+04
1.00E+04,3.89E+04,4.33E+04
1.00E+04,1.74E+04,1.30E+04
1.00E+04,2.47E+04,3.07E+04
1.00E+04,5.39E+04,4.83E+04
1.00E+04,5.73E+04,6.46E+04
1.42E+04,2.42E+04,1.00E+00
1.42E+04,5.36E+04,1.70E+01
1.42E+04,2.27E+04,1.00E+00
1.42E+04,3.34E+04,1.10E+01
1.42E+04,2.93E+04,4.00E+00
1.25E+04,1.56E+04,1.00E+00
1.08E+04,1.41E+04,1.00E+00
1.08E+04,1.84E+04,5.00E+00
1.08E+04,1.24E+04,8.20E+01
1.00E+04,4.51E+04,2.22E+04
1.00E+04,7.60E+04,3.78E+04
1.00E+04,3.40E+04,2.64E+04
1.00E+04,5.97E+04,4.51E+04
1.00E+04,3.19E+04,2.72E+04
1.00E+04,6.10E+04,2.94E+04
1.00E+04,4.36E+04,2.08E+04
1.32E+04,1.60E+04,1.00E+00
1.38E+04,6.13E+02,1.00E+00
1.17E+04,2.04E+04,1.70E+04
1.03E+04,3.25E+04,1.95E+04
1.03E+04,5.59E+04,4.03E+04
1.03E+04,4.17E+04,2.71E+04
1.03E+04,4.22E+04,3.10E+04
1.03E+04,2.63E+04,1.74E+04
1.03E+04,1.91E+04,1.64E+04
1.03E+04,3.97E+04,3.36E+04
1.26E+04,4.34E+04,1.00E+00
1.00E+04,5.23E+03,1.42E+04
1.00E+04,2.77E+04,3.31E+04
1.00E+04,2.41E+04,2.54E+04
1.00E+04,5.10E+04,3.72E+04
1.00E+04,5.42E+04,3.33E+04
1.00E+04,3.20E+04,3.10E+04
1.05E+04,1.23E+04,1.63E+04
1.05E+04,1.53E+04,1.39E+04
1.11E+04,3.02E+04,1.20E+01
1.12E+04,5.11E+04,3.68E+04
1.12E+04,7.62E+04,6.82E+04
1.12E+04,4.04E+04,2.61E+04
1.12E+04,9.45E+04,7.32E+04
1.15E+04,4.67E+03,6.00E+00
1.15E+04,7.56E+03,9.00E+00
1.14E+04,2.51E+04,1.57E+04
1.14E+04,4.44E+04,3.11E+04
1.14E+04,3.00E+04,2.24E+04
1.14E+04,3.04E+04,1.85E+04
1.14E+04,2.36E+04,1.33E+04
1.03E+04,2.50E+04,1.87E+04
1.03E+04,5.93E+04,3.53E+04
1.17E+04,3.21E+04,4.80E+01
1.17E+04,3.02E+04,4.00E+00
1.17E+04,1.47E+04,2.00E+00
1.17E+04,3.43E+03,1.00E+00
1.17E+04,1.76E+04,1.00E+00
1.00E+04,3.09E+03,5.54E+03
1.00E+04,3.01E+03,3.28E+03
1.00E+04,6.99E+03,9.19E+03
1.00E+04,2.11E+04,2.47E+04
1.00E+04,8.14E+04,4.46E+04
1.05E+04,6.64E+04,5.77E+04
1.05E+04,6.78E+04,5.16E+04
1.05E+04,9.71E+04,9.95E+04
1.05E+04,4.53E+03,6.03E+03
1.05E+04,7.58E+04,5.33E+04
1.05E+04,7.61E+04,7.76E+04
1.05E+04,6.66E+04,4.38E+04
1.24E+04,6.60E+03,1.00E+00
1.12E+04,6.38E+04,7.11E+04
1.12E+04,6.20E+04,5.09E+04
1.12E+04,9.01E+04,5.90E+04
1.12E+04,5.43E+04,6.67E+04
1.12E+04,3.59E+04,3.21E+04
1.12E+04,8.86E+04,4.98E+04
1.12E+04,7.52E+04,4.97E+04
1.12E+04,9.22E+04,4.48E+04
1.15E+04,7.41E+03,6.00E+00
1.15E+04,1.91E+04,1.70E+01
1.09E+04,8.73E+03,1.00E+00
1.09E+04,8.55E+03,1.00E+00
1.09E+04,3.20E+03,1.00E+00
1.14E+04,6.08E+04,3.81E+04
1.14E+04,3.27E+04,2.91E+04
1.14E+04,1.84E+02,2.30E+03
1.14E+04,1.79E+04,1.39E+04
1.14E+04,5.37E+04,3.41E+04
1.17E+04,1.99E+04,5.00E+00
1.17E+04,2.90E+04,2.00E+00
1.17E+04,3.22E+03,2.00E+00
1.17E+04,2.92E+04,2.50E+01
1.17E+04,3.52E+04,1.00E+00
1.17E+04,2.80E+04,9.00E+00
1.05E+04,7.83E+04,7.96E+04
1.05E+04,4.57E+04,3.35E+04
1.05E+04,7.05E+04,7.70E+04
1.05E+04,8.65E+04,6.86E+04
1.05E+04,3.97E+04,2.97E+04
1.05E+04,4.73E+04,4.33E+04
1.05E+04,7.95E+04,8.84E+04
1.06E+04,1.14E+04,6.00E+00
1.00E+04,3.40E+04,2.55E+04
1.12E+04,4.18E+04,1.99E+04
1.12E+04,1.02E+05,1.19E+05
1.12E+04,5.68E+04,6.77E+04
1.12E+04,4.76E+04,1.97E+04
1.12E+04,7.87E+04,4.17E+04
1.12E+04,9.96E+04,5.28E+04
1.15E+04,2.73E+04,4.10E+01
1.17E+04,1.04E+04,1.00E+00
1.17E+04,3.45E+04,3.10E+01
1.17E+04,6.07E+04,3.00E+00
1.17E+04,3.59E+03,3.00E+00
1.01E+04,5.20E+03,9.53E+02
1.03E+04,4.78E+03,7.02E+02
1.03E+04,7.85E+03,1.44E+03
1.06E+04,5.12E+03,1.00E+01
1.06E+04,8.20E+03,1.00E+00
1.46E+04,2.29E+04,2.00E+00
1.12E+04,8.64E+04,6.26E+04
1.12E+04,3.33E+04,2.45E+04
1.12E+04,2.83E+04,2.30E+04
1.12E+04,7.91E+04,5.81E+04
1.12E+04,9.39E+04,4.73E+04
1.12E+04,4.99E+04,5.04E+04
1.16E+04,6.46E+03,1.00E+00
1.14E+04,1.86E+04,1.29E+04
1.14E+04,3.89E+04,2.73E+04
1.14E+04,2.61E+04,1.82E+04
1.14E+04,1.93E+04,1.35E+04
1.14E+04,2.90E+04,2.18E+04
1.14E+04,3.63E+04,2.65E+04
1.09E+04,4.84E+04,2.00E+00
1.17E+04,4.02E+04,1.10E+01
1.17E+04,8.03E+03,1.00E+00
1.17E+04,6.25E+04,5.00E+00
1.17E+04,2.71E+04,2.00E+00
1.17E+04,1.45E+04,2.00E+00
1.01E+04,6.05E+04,2.41E+04
1.05E+04,7.65E+03,1.00E+00
1.05E+04,1.28E+03,1.00E+00
1.05E+04,2.63E+04,1.00E+00
1.05E+04,2.01E+04,3.00E+00
1.05E+04,1.66E+04,2.00E+00
1.15E+04,1.05E+04,7.00E+00
1.15E+04,3.30E+04,1.50E+01
1.25E+04,7.80E+03,1.00E+00
1.16E+04,5.64E+04,1.70E+01
1.16E+04,2.60E+04,2.70E+01
1.16E+04,2.36E+04,9.00E+00
1.16E+04,3.81E+04,1.00E+01
1.10E+04,4.72E+04,1.00E+00
1.10E+04,3.15E+04,1.00E+00
1.18E+04,3.84E+04,1.40E+01
1.18E+04,1.00E+04,1.00E+00
1.18E+04,8.97E+03,1.00E+00
1.18E+04,2.42E+04,3.10E+01
1.00E+04,4.19E+04,5.65E+04
1.00E+04,1.17E+04,8.60E+02
1.06E+04,2.25E+04,1.30E+01
1.06E+04,1.65E+04,4.00E+00
1.06E+04,1.13E+04,3.00E+00
1.06E+04,1.81E+04,1.00E+00
1.20E+04,9.39E+02,1.00E+00
1.41E+04,3.00E+04,1.00E+00
1.20E+04,1.37E+04,1.00E+00
1.41E+04,4.51E+04,5.00E+00
1.10E+04,5.95E+03,2.00E+00
1.06E+04,1.98E+04,9.00E+00
1.26E+04,5.44E+04,4.00E+00
